Ground,Object,630,-330,0,Tags,1,BandC,,
Ground,Object,510,-390,0,Tags,1,BandC,,
Ground,Object,-930,-450,0,Tags,0,,,
Ground,Object,-210,-390,0,Tags,1,BandA,,
Ground,Object,690,-450,0,Tags,1,BandC,,
Ground,Object,-30,-330,0,Tags,1,BandA,,
Ground,Object,750,-450,0,Tags,1,BandC,,
Ground,Object,750,-270,0,Tags,1,BandC,,
Ground,Object,-810,-450,0,Tags,0,,,
Ground,Object,-510,-510,0,Tags,0,,,
Ground,Object,-90,-330,0,Tags,1,BandA,,
Ground,Object,-930,-510,0,Tags,0,,,
Ground,Object,-630,-450,0,Tags,0,,,
Ground,Object,750,-330,0,Tags,1,BandC,,
Ground,Object,210,-450,0,Tags,1,BandC,,
Ground,Object,570,-390,0,Tags,1,BandC,,
Ground,Object,570,-450,0,Tags,1,BandC,,
Ground,Object,90,-450,0,Tags,1,BandC,,
Ground,Object,150,-450,0,Tags,1,BandC,,
Ground,Object,390,-450,0,Tags,1,BandC,,
Ground,Object,-690,-450,0,Tags,0,,,
Ground,Object,330,-450,0,Tags,1,BandC,,
Ground,Object,-570,-450,0,Tags,0,,,
Ground,Object,870,-30,0,Tags,0,,,
Ground,Object,-750,-510,0,Tags,0,,,
Ground,Object,-510,-450,0,Tags,0,,,
Ground,Object,-150,-330,0,Tags,1,BandA,,
Ground,Object,-210,-330,0,Tags,1,BandA,,
Ground,Object,-690,-510,0,Tags,0,,,
Ground,Object,630,-390,0,Tags,1,BandC,,
Ground,Object,30,-330,0,Tags,1,BandA,,
Ground,Object,450,-450,0,Tags,1,BandC,,
Ground,Object,690,-330,0,Tags,1,BandC,,
Ground,Object,690,-30,0,Tags,0,,,
Ground,Object,-870,-450,0,Tags,0,,,
Ground,Object,750,-30,0,Tags,0,,,
Ground,Object,-870,-510,0,Tags,0,,,
Ground,Object,750,-390,0,Tags,1,BandC,,
Ground,Object,690,-270,0,Tags,1,BandC,,
Ground,Object,690,-390,0,Tags,1,BandC,,
Ground,Object,450,-390,0,Tags,1,BandC,,
Ground,Object,-570,-510,0,Tags,0,,,
Ground,Object,510,-450,0,Tags,1,BandC,,
Ground,Object,-750,-450,0,Tags,0,,,
Ground,Object,750,-210,0,Tags,1,BandC,,
Ground,Object,810,-30,0,Tags,0,,,
Ground,Object,270,-450,0,Tags,1,BandC,,
Ground,Object,390,-390,0,Tags,1,BandC,,
Ground,Object,-810,-510,0,Tags,0,,,
Ground,Object,330,-390,0,Tags,1,BandC,,
Ground,Object,930,-30,0,Tags,0,,,
Ground,Object,570,-330,0,Tags,1,BandC,,
Ground,Object,-630,-510,0,Tags,0,,,
Ground,Object,630,-450,0,Tags,1,BandC,,
Ground,Object,30,-270,0,Tags,1,BandA,,
Goal,Object,870,60,0,Tags,0,,,
Player,Object,-870,-362,3,Tags,1,Player,,
Band,Object,-510,-390,0,Tags,0,5,BandA,
UpBand,Object,90,-270,0,Tags,1,BandA,4,BandC
