Ground,Object,90,-270,0,Tags,1,BandA,
Ground,Object,-630,-390,0,Tags,0,,
Ground,Object,-330,-510,0,Tags,0,,
Ground,Object,-930,-510,0,Tags,0,,
Ground,Object,330,-330,0,Tags,0,,
Ground,Object,-630,-450,0,Tags,0,,
Ground,Object,-510,-510,0,Tags,0,,
Ground,Object,-750,-450,0,Tags,0,,
Ground,Object,30,-330,0,Tags,1,BandA,
Ground,Object,-810,-390,0,Tags,0,,
Ground,Object,-870,-390,0,Tags,0,,
Ground,Object,-570,-510,0,Tags,0,,
Ground,Object,150,-210,0,Tags,1,BandA,
Ground,Object,30,-270,0,Tags,1,BandA,
Ground,Object,-270,-510,0,Tags,0,,
Ground,Object,-510,-390,0,Tags,0,,
Ground,Object,-450,-510,0,Tags,0,,
Ground,Object,-390,-510,0,Tags,0,,
Ground,Object,-390,-390,0,Tags,0,,
Ground,Object,-690,-450,0,Tags,0,,
Ground,Object,150,-270,0,Tags,1,BandA,
Ground,Object,90,-330,0,Tags,1,BandA,
Ground,Object,150,-330,0,Tags,1,BandA,
Ground,Object,-690,-510,0,Tags,0,,
Ground,Object,-690,-390,0,Tags,0,,
Ground,Object,-930,-390,0,Tags,0,,
Ground,Object,-810,-510,0,Tags,0,,
Ground,Object,-750,-390,0,Tags,0,,
Ground,Object,-870,-510,0,Tags,0,,
Ground,Object,-570,-390,0,Tags,0,,
Ground,Object,-270,-390,0,Tags,0,,
Ground,Object,570,-150,0,Tags,0,,
Ground,Object,-870,-450,0,Tags,0,,
Ground,Object,-750,-510,0,Tags,0,,
Ground,Object,-930,-450,0,Tags,0,,
Ground,Object,-570,-450,0,Tags,0,,
Ground,Object,690,-150,0,Tags,0,,
Ground,Object,210,-330,0,Tags,0,,
Ground,Object,-450,-450,0,Tags,0,,
Ground,Object,210,150,0,Tags,0,,
Ground,Object,-630,-510,0,Tags,0,,
Ground,Object,450,-210,0,Tags,0,,
Ground,Object,570,-90,0,Tags,0,,
Ground,Object,-330,-330,0,Tags,0,,
Ground,Object,690,-30,0,Tags,0,,
Ground,Object,270,150,0,Tags,0,,
Ground,Object,390,210,0,Tags,0,,
Ground,Object,390,-330,0,Tags,0,,
Ground,Object,-510,-450,0,Tags,0,,
Ground,Object,630,-150,0,Tags,1,BandB,
Ground,Object,150,150,0,Tags,0,,
Ground,Object,690,210,0,Tags,0,,
Ground,Object,690,-90,0,Tags,0,,
Ground,Object,450,210,0,Tags,0,,
Ground,Object,870,210,0,Tags,0,,
Ground,Object,510,210,0,Tags,0,,
Ground,Object,-390,-450,0,Tags,0,,
Ground,Object,930,210,0,Tags,0,,
Ground,Object,-330,-390,0,Tags,0,,
Ground,Object,750,210,0,Tags,0,,
Ground,Object,90,-210,0,Tags,1,BandA,
Ground,Object,630,210,0,Tags,0,,
Ground,Object,-810,-450,0,Tags,0,,
Ground,Object,-330,-450,0,Tags,0,,
Ground,Object,330,210,0,Tags,0,,
Ground,Object,390,-270,0,Tags,0,,
Ground,Object,750,-30,0,Tags,0,,
Ground,Object,630,-90,0,Tags,1,BandB,
Ground,Object,-270,-450,0,Tags,0,,
Ground,Object,-330,-270,0,Tags,0,,
Ground,Object,510,-150,0,Tags,0,,
Ground,Object,570,210,0,Tags,0,,
Ground,Object,630,-30,0,Tags,0,,
Ground,Object,270,-330,0,Tags,0,,
Ground,Object,750,-150,0,Tags,0,,
Ground,Object,-450,-390,0,Tags,0,,
Ground,Object,270,210,0,Tags,0,,
Ground,Object,150,-150,0,Tags,1,BandA,
Ground,Object,750,-90,0,Tags,0,,
Ground,Object,810,210,0,Tags,0,,
Goal,Object,870,300,0,Tags,0,,
Coin,Object,270,-270,0,Tags,0,,
Coin,Object,-630,-330,0,Tags,0,,
Coin,Object,-90,-150,0,Tags,0,,
Coin,Object,450,-90,0,Tags,0,,
Coin,Object,510,-30,0,Tags,0,,
Coin,Object,-150,-150,0,Tags,0,,
Coin,Object,390,-150,0,Tags,0,,
Coin,Object,-690,-330,0,Tags,0,,
Coin,Object,-570,-330,0,Tags,0,,
Player,Object,-870,-300,3,Tags,1,Player,
Band,Object,-390,-330,0,Tags,0,9,BandA
